АВСТРИЯ
Собор Святого Стефана, 48.208505, 16.372935
Дворец Хофбург, 48.20633, 16.36580
Этнологический музей, 48.20633, 16.36580
Альбертина, 48.20633, 16.36580
Stallburg, 48.20633, 16.36580
КИТАЙ
Великая Китайская стена, 40.4319074,116.5616201
Терракотовая Армия в Сиане, 34.384115,109.269737
Запретный Город в Пекине, 39.9166457,116.385188
Центр Большой Панды в Чэнду, 30.7329687,104.1370552
Западное Озеро в Ханчжоу (Озеро Сиху), 30.7329687,104.1370552
ФИНЛЯНДИЯ
Сенатская площадь и Кафедральный собор (Хельсинки), 60.1694791,24.9435319
Парк Эспланады (Хельсинки), 60.1674812,24.9388547
Крепость Свеаборг (Хельсинки), 60.1453997,24.9793853
ФРАНЦИЯ
Эйфелева башня (г. Париж), 48.8583698,2.2857265
Лувр (г. Париж), 48.860812,2.3279964
Версальский дворец (г. Париж), 48.8048646,2.1116006
Лазурный берег или Французская Ривьера, 48.8048646,2.1116006
Дюна Пила (Аркашонский залив), 44.6905688,-1.4126321
Дворец Фонтенбло (50 км от г.Париж), 48.6285059,1.9689809
Старый город Каркассон (региона Лангедок — Руссильон), 43.2074596,2.0688903
ЯПОНИЯ
Золотой павильон (Кинкаку-дзи), 35.0393697,135.7204883 
Гора Фудзи (остров Хонсю), 35.3606199,138.692343851.4838937,-0.6131575
Химедзи (остров Хонсю), 34.8423878,134.0573701
Аокигахара (плачущий лес), 35.475218,138.6317466
Парк Мира в Хиросиме (округ Накадзима, стертый с лица земли), 34.4546591,131.8768223
Храм Ицукусима-дзиндзя, 34.2959891,132.3110738
Императорский дворец, 35.6828258,139.7508859
Германия
Кёльнский собор (г. Кёльн), 50.9412781,6.9495266
Замок Нойшванштайн (Баварские Альпы), 47.5575737,10.7410456
Бранденбургские ворота (г. Берлин), 47.5575737,10.7410456
Чёрный лес (регион Шварцвальд), 48.2494515,5.9876008
Музейный остров Берлина, 48.2494515,5.9876008
Берлинская стена, 52.5194144,13.3466928
Соединенные Штаты Америки
Статуя Свободы (г. Нью-Йорк), 40.689243,-74.0533067
Центральный парк (г. Нью-Йорк, Манхэттен), 40.7812196,-73.9752686
Чайна-таун (г. Нью-Йорк, Манхэттен), 40.7160804,-74.0143905
Белый Дом (г. Вашингтон), 38.897676,-77.0452846
Пентагон (штат Виргиния), 38.8718565,-77.0650217
Алькатрас, 37.8267026,-122.4273662
ИТАЛИЯ
Ватикан (г. Рим), 41.9036051,12.4152585
Пантеон (г. Рим), 41.9035147,12.3101923
Колизей (г. Рим), 41.9035147,12.3101923
Сикстинская Капелла (г. Рим, Ватикан), 41.9029465,12.4457287
АНГЛИЯ
Лондонский Биг-Бен, 51.5007289,-0.1333802
Гайд-парк, 51.5072679,-0.1744851
Виндзорский замок, 51.4838937,-0.6131575
РОССИЯ
горы Алтая, 48.9999942,88.9649805
Московский Кремль и Красная площадь, 55.7529767,37.6147698
Храм Василия Блаженного, 55.7525226,37.614332
Большой театр, 55.7601332,37.6098938
Екатерининский дворец и парк, 59.713878,30.370581
Большой Петергофский дворец, 59.8845723,29.9000594














